feature,PLS,reconstructability,dp_contribution,dp_contribution_abs,dp_share,rank
emb_5,0.3715610253860076,0.97640415028066,-0.676664001934207,0.676664001934207,0.14139390491756695,0
emb_2,0.34002337484639805,0.9768374839149194,-0.5664187419216333,0.5664187419216333,0.11835734945241316,1
emb_0,0.30044256507103645,0.9806208198755693,-0.44051854583741734,0.44051854583741734,0.0920495803035446,2
emb_4,0.27277560097562614,0.9767166504976741,-0.36457327990011507,0.36457327990011507,0.07618026010890781,3
emb_3,0.261323762586144,0.9772847064477128,-0.33440986992978594,0.33440986992978594,0.06987739441907763,4
emb_6,0.2567309916137205,0.9765166503587848,-0.3230124992148474,0.3230124992148474,0.0674958302357136,5
emb_7,0.2554313930981935,0.9688430339187737,-0.322283081306333,0.322283081306333,0.06734341301519224,6
emb_1,0.24242851029072807,0.9777235956413859,-0.2876694039911339,0.2876694039911339,0.0601106313315754,7
suitability,0.058187994480184045,0.04977642345584954,0.32552584414748476,0.32552584414748476,0.06802101208876704,8
educ_attainment,0.037658602510849834,0.026207657088650915,-0.25896590281490994,0.25896590281490994,0.054112824289215704,9
lang_prof_3,0.025217783152399705,0.04481808667922682,0.06790517673059404,0.06790517673059404,0.014189284600054355,10
lang_prof_2,0.0238850818059453,0.04005836115163963,-0.06815577691189767,0.06815577691189767,0.014241649345491214,11
recommendation,0.0212477577810346,0.006679865749906866,-0.32344531413771777,0.32344531413771777,0.0675862700875105,12
availability,0.020469340876407116,0.018431262799488035,0.10879151120326228,0.10879151120326228,0.02273278399167471,13
prev_experience,0.02028838369422666,0.008954867329769023,0.21997743188665855,0.21997743188665855,0.04596589740149498,14
lang_prof_1,0.017109549149256827,0.01751598438610036,0.07998065679453309,0.07998065679453309,0.016712544704203632,15
noise_1,0.0055053461723826285,0.02059654208093198,0.007042345620601078,0.007042345620601078,0.0014715497562004644,16
noise_6,0.00380070402504644,0.028604880975611757,0.002416742284733901,0.002416742284733901,0.0005049960214244616,17
noise_0,0.002032899712473678,0.03792155411219034,0.000521540652138389,0.000521540652138389,0.00010897974351866192,18
noise_4,0.002015394464275362,0.011385424573211456,-0.0017073135080334172,0.0017073135080334172,0.00035675567656815696,19
noise_3,0.00200591581732465,0.0055604205280697094,-0.0034630610848008247,0.0034630610848008247,0.0007236320069464313,20
noise_2,0.0015453797500561953,0.019286818949179718,-0.0005925871297156947,0.0005925871297156947,0.00012382542596457155,21
noise_7,0.0014667728691476634,0.039284055058371736,-0.0002620908200281326,0.0002620908200281326,5.4765798654718655e-05,22
noise_5,0.0013152810713122692,0.00607292088397271,-0.0013632700731359623,0.0013632700731359623,0.0002848652781099074,23
